RANK #1,	Token ID: 1,	 score: 55,	type:Witch of Woe,	skills: {"will":9,"wisdom":9,"wonder":9,"woe":10,"wit":9,"wiles":9}
RANK #2218,	Token ID: 9532,	 score: 35,	type:occultist,	skills: {"will":4,"wit":7,"wiles":3,"wisdom":7,"wonder":5,"woe":9}
RANK #2219,	Token ID: 9546,	 score: 35,	type:occultist,	skills: {"will":8,"wit":6,"wiles":8,"wisdom":1,"wonder":7,"woe":5}
RANK #2220,	Token ID: 9578,	 score: 35,	type:seer,	skills: {"will":9,"wit":8,"wiles":4,"wisdom":7,"wonder":1,"woe":6}
RANK #2221,	Token ID: 9580,	 score: 35,	type:seer,	skills: {"will":8,"wit":7,"wiles":4,"wisdom":5,"wonder":6,"woe":5}
RANK #2222,	Token ID: 9614,	 score: 35,	type:necromancer,	skills: {"will":9,"wit":7,"wiles":3,"wisdom":5,"wonder":2,"woe":9}
RANK #2223,	Token ID: 9631,	 score: 35,	type:hag,	skills: {"will":6,"wit":4,"wiles":5,"wisdom":8,"wonder":9,"woe":3}
RANK #2224,	Token ID: 9650,	 score: 35,	type:necromancer,	skills: {"will":9,"wit":3,"wiles":2,"wisdom":8,"wonder":4,"woe":9}
RANK #2225,	Token ID: 9734,	 score: 35,	type:enchantress,	skills: {"will":9,"wit":5,"wiles":5,"wisdom":6,"wonder":7,"woe":3}
RANK #2226,	Token ID: 39,	 score: 34,	type:mage,	skills: {"will":7,"wit":1,"wiles":5,"wisdom":8,"wonder":4,"woe":9}
RANK #2227,	Token ID: 53,	 score: 34,	type:enchantress,	skills: {"will":2,"wit":9,"wiles":6,"wisdom":4,"wonder":5,"woe":8}
RANK #2228,	Token ID: 66,	 score: 34,	type:necromancer,	skills: {"will":6,"wit":5,"wiles":3,"wisdom":9,"wonder":3,"woe":8}
RANK #2229,	Token ID: 108,	 score: 34,	type:seer,	skills: {"will":9,"wit":6,"wiles":8,"wisdom":4,"wonder":7,"woe":0}
RANK #2230,	Token ID: 116,	 score: 34,	type:seer,	skills: {"will":6,"wit":2,"wiles":6,"wisdom":6,"wonder":7,"woe":7}
RANK #2231,	Token ID: 142,	 score: 34,	type:hag,	skills: {"will":6,"wit":6,"wiles":3,"wisdom":9,"wonder":9,"woe":1}
RANK #2232,	Token ID: 155,	 score: 34,	type:occultist,	skills: {"will":8,"wit":3,"wiles":4,"wisdom":8,"wonder":2,"woe":9}
RANK #2233,	Token ID: 188,	 score: 34,	type:enchantress,	skills: {"will":5,"wit":9,"wiles":2,"wisdom":8,"wonder":3,"woe":7}
RANK #2234,	Token ID: 194,	 score: 34,	type:hag,	skills: {"will":6,"wit":7,"wiles":0,"wisdom":8,"wonder":9,"woe":4}
RANK #2235,	Token ID: 200,	 score: 34,	type:occultist,	skills: {"will":2,"wit":4,"wiles":7,"wisdom":5,"wonder":8,"woe":8}
RANK #2236,	Token ID: 231,	 score: 34,	type:seer,	skills: {"will":4,"wit":0,"wiles":6,"wisdom":9,"wonder":7,"woe":8}
RANK #2237,	Token ID: 236,	 score: 34,	type:seer,	skills: {"will":6,"wit":7,"wiles":4,"wisdom":9,"wonder":5,"woe":3}
RANK #2238,	Token ID: 332,	 score: 34,	type:necromancer,	skills: {"will":4,"wit":7,"wiles":3,"wisdom":5,"wonder":6,"woe":9}
RANK #2239,	Token ID: 349,	 score: 34,	type:necromancer,	skills: {"will":9,"wit":0,"wiles":3,"wisdom":9,"wonder":4,"woe":9}
RANK #2240,	Token ID: 387,	 score: 34,	type:seer,	skills: {"will":8,"wit":6,"wiles":6,"wisdom":6,"wonder":5,"woe":3}
RANK #2241,	Token ID: 440,	 score: 34,	type:mage,	skills: {"will":7,"wit":5,"wiles":6,"wisdom":3,"wonder":7,"woe":6}
RANK #2242,	Token ID: 474,	 score: 34,	type:necromancer,	skills: {"will":9,"wit":4,"wiles":8,"wisdom":5,"wonder":4,"woe":4}
RANK #2243,	Token ID: 481,	 score: 34,	type:hag,	skills: {"will":3,"wit":6,"wiles":1,"wisdom":9,"wonder":9,"woe":6}
RANK #2244,	Token ID: 519,	 score: 34,	type:occultist,	skills: {"will":6,"wit":2,"wiles":3,"wisdom":6,"wonder":8,"woe":9}
RANK #2245,	Token ID: 533,	 score: 34,	type:hag,	skills: {"will":6,"wit":9,"wiles":1,"wisdom":8,"wonder":4,"woe":6}
RANK #2246,	Token ID: 539,	 score: 34,	type:hag,	skills: {"will":4,"wit":5,"wiles":3,"wisdom":9,"wonder":6,"woe":7}
RANK #2247,	Token ID: 551,	 score: 34,	type:occultist,	skills: {"will":0,"wit":8,"wiles":9,"wisdom":8,"wonder":1,"woe":8}
RANK #2248,	Token ID: 571,	 score: 34,	type:enchantress,	skills: {"will":6,"wit":9,"wiles":8,"wisdom":4,"wonder":0,"woe":7}
RANK #2249,	Token ID: 621,	 score: 34,	type:mage,	skills: {"will":7,"wit":2,"wiles":7,"wisdom":3,"wonder":6,"woe":9}
RANK #2250,	Token ID: 635,	 score: 34,	type:hag,	skills: {"will":7,"wit":6,"wiles":4,"wisdom":4,"wonder":5,"woe":8}
RANK #2251,	Token ID: 692,	 score: 34,	type:occultist,	skills: {"will":3,"wit":6,"wiles":9,"wisdom":5,"wonder":3,"woe":8}
RANK #2252,	Token ID: 705,	 score: 34,	type:hag,	skills: {"will":5,"wit":7,"wiles":5,"wisdom":7,"wonder":9,"woe":1}
RANK #2253,	Token ID: 707,	 score: 34,	type:hag,	skills: {"will":4,"wit":7,"wiles":5,"wisdom":9,"wonder":8,"woe":1}
RANK #2254,	Token ID: 708,	 score: 34,	type:enchantress,	skills: {"will":9,"wit":9,"wiles":5,"wisdom":0,"wonder":6,"woe":5}
RANK #2255,	Token ID: 732,	 score: 34,	type:occultist,	skills: {"will":6,"wit":6,"wiles":4,"wisdom":3,"wonder":6,"woe":9}
RANK #2256,	Token ID: 755,	 score: 34,	type:necromancer,	skills: {"will":9,"wit":6,"wiles":4,"wisdom":9,"wonder":0,"woe":6}
RANK #2257,	Token ID: 766,	 score: 34,	type:seer,	skills: {"will":6,"wit":8,"wiles":5,"wisdom":3,"wonder":5,"woe":7}
RANK #2258,	Token ID: 808,	 score: 34,	type:occultist,	skills: {"will":7,"wit":2,"wiles":5,"wisdom":8,"wonder":4,"woe":8}
RANK #2259,	Token ID: 821,	 score: 34,	type:seer,	skills: {"will":9,"wit":5,"wiles":4,"wisdom":4,"wonder":5,"woe":7}
RANK #2260,	Token ID: 839,	 score: 34,	type:occultist,	skills: {"will":7,"wit":9,"wiles":3,"wisdom":4,"wonder":7,"woe":4}
RANK #2261,	Token ID: 847,	 score: 34,	type:hag,	skills: {"will":3,"wit":6,"wiles":5,"wisdom":9,"wonder":9,"woe":2}
RANK #2262,	Token ID: 901,	 score: 34,	type:occultist,	skills: {"will":2,"wit":8,"wiles":9,"wisdom":7,"wonder":0,"woe":8}
RANK #2263,	Token ID: 957,	 score: 34,	type:necromancer,	skills: {"will":4,"wit":4,"wiles":8,"wisdom":7,"wonder":2,"woe":9}
RANK #2264,	Token ID: 974,	 score: 34,	type:occultist,	skills: {"will":2,"wit":8,"wiles":7,"wisdom":4,"wonder":6,"woe":7}
RANK #2265,	Token ID: 992,	 score: 34,	type:enchantress,	skills: {"will":6,"wit":9,"wiles":8,"wisdom":1,"wonder":6,"woe":4}
RANK #2266,	Token ID: 1003,	 score: 34,	type:enchantress,	skills: {"will":8,"wit":9,"wiles":9,"wisdom":1,"wonder":1,"woe":6}
RANK #2267,	Token ID: 1042,	 score: 34,	type:enchantress,	skills: {"will":3,"wit":7,"wiles":8,"wisdom":7,"wonder":5,"woe":4}
RANK #2268,	Token ID: 1049,	 score: 34,	type:hag,	skills: {"will":2,"wit":8,"wiles":6,"wisdom":7,"wonder":9,"woe":2}
RANK #2269,	Token ID: 1062,	 score: 34,	type:necromancer,	skills: {"will":9,"wit":6,"wiles":5,"wisdom":8,"wonder":1,"woe":5}
RANK #2270,	Token ID: 1070,	 score: 34,	type:enchantress,	skills: {"will":6,"wit":6,"wiles":6,"wisdom":5,"wonder":4,"woe":7}
RANK #2271,	Token ID: 1072,	 score: 34,	type:necromancer,	skills: {"will":9,"wit":6,"wiles":1,"wisdom":7,"wonder":2,"woe":9}
RANK #2272,	Token ID: 1078,	 score: 34,	type:hag,	skills: {"will":8,"wit":4,"wiles":0,"wisdom":9,"wonder":6,"woe":7}
RANK #2273,	Token ID: 1106,	 score: 34,	type:necromancer,	skills: {"will":5,"wit":5,"wiles":3,"wisdom":9,"wonder":8,"woe":4}
RANK #2274,	Token ID: 1120,	 score: 34,	type:seer,	skills: {"will":8,"wit":7,"wiles":3,"wisdom":9,"wonder":1,"woe":6}
RANK #2275,	Token ID: 1144,	 score: 34,	type:necromancer,	skills: {"will":3,"wit":8,"wiles":6,"wisdom":5,"wonder":8,"woe":4}
RANK #2276,	Token ID: 1168,	 score: 34,	type:enchantress,	skills: {"will":7,"wit":8,"wiles":8,"wisdom":5,"wonder":1,"woe":5}
RANK #2277,	Token ID: 1202,	 score: 34,	type:necromancer,	skills: {"will":4,"wit":5,"wiles":4,"wisdom":4,"wonder":8,"woe":9}
RANK #2278,	Token ID: 1223,	 score: 34,	type:occultist,	skills: {"will":5,"wit":6,"wiles":9,"wisdom":2,"wonder":3,"woe":9}
RANK #2279,	Token ID: 1232,	 score: 34,	type:seer,	skills: {"will":8,"wit":5,"wiles":7,"wisdom":8,"wonder":1,"woe":5}
RANK #2280,	Token ID: 1268,	 score: 34,	type:enchantress,	skills: {"will":9,"wit":8,"wiles":2,"wisdom":8,"wonder":2,"woe":5}
RANK #2281,	Token ID: 1274,	 score: 34,	type:hag,	skills: {"will":8,"wit":9,"wiles":4,"wisdom":6,"wonder":6,"woe":1}
RANK #2282,	Token ID: 1304,	 score: 34,	type:seer,	skills: {"will":6,"wit":2,"wiles":4,"wisdom":9,"wonder":5,"woe":8}
RANK #2283,	Token ID: 1313,	 score: 34,	type:mage,	skills: {"will":8,"wit":6,"wiles":2,"wisdom":5,"wonder":5,"woe":8}
RANK #2284,	Token ID: 1333,	 score: 34,	type:necromancer,	skills: {"will":5,"wit":7,"wiles":2,"wisdom":7,"wonder":4,"woe":9}
RANK #2285,	Token ID: 1350,	 score: 34,	type:necromancer,	skills: {"will":8,"wit":0,"wiles":7,"wisdom":6,"wonder":4,"woe":9}
RANK #2286,	Token ID: 1361,	 score: 34,	type:hag,	skills: {"will":7,"wit":8,"wiles":7,"wisdom":4,"wonder":5,"woe":3}
RANK #2287,	Token ID: 1367,	 score: 34,	type:hag,	skills: {"will":4,"wit":7,"wiles":0,"wisdom":8,"wonder":8,"woe":7}
RANK #2288,	Token ID: 1372,	 score: 34,	type:seer,	skills: {"will":9,"wit":5,"wiles":3,"wisdom":9,"wonder":1,"woe":7}
RANK #2289,	Token ID: 1423,	 score: 34,	type:occultist,	skills: {"will":8,"wit":5,"wiles":4,"wisdom":7,"wonder":1,"woe":9}
RANK #2290,	Token ID: 1441,	 score: 34,	type:hag,	skills: {"will":4,"wit":8,"wiles":8,"wisdom":5,"wonder":5,"woe":4}
RANK #2291,	Token ID: 1526,	 score: 34,	type:hag,	skills: {"will":3,"wit":8,"wiles":6,"wisdom":6,"wonder":3,"woe":8}
RANK #2292,	Token ID: 1532,	 score: 34,	type:enchantress,	skills: {"will":3,"wit":9,"wiles":9,"wisdom":7,"wonder":5,"woe":1}
RANK #2293,	Token ID: 1542,	 score: 34,	type:enchantress,	skills: {"will":3,"wit":9,"wiles":5,"wisdom":5,"wonder":5,"woe":7}
RANK #2294,	Token ID: 1543,	 score: 34,	type:occultist,	skills: {"will":6,"wit":6,"wiles":5,"wisdom":8,"wonder":3,"woe":6}
RANK #2295,	Token ID: 1568,	 score: 34,	type:enchantress,	skills: {"will":8,"wit":3,"wiles":9,"wisdom":7,"wonder":3,"woe":4}
RANK #2296,	Token ID: 1572,	 score: 34,	type:occultist,	skills: {"will":3,"wit":6,"wiles":7,"wisdom":2,"wonder":8,"woe":8}
RANK #2297,	Token ID: 1578,	 score: 34,	type:seer,	skills: {"will":5,"wit":7,"wiles":6,"wisdom":9,"wonder":4,"woe":3}
RANK #2298,	Token ID: 1591,	 score: 34,	type:enchantress,	skills: {"will":4,"wit":9,"wiles":3,"wisdom":7,"wonder":3,"woe":8}
RANK #2299,	Token ID: 1599,	 score: 34,	type:occultist,	skills: {"will":3,"wit":5,"wiles":9,"wisdom":3,"wonder":7,"woe":7}
RANK #2300,	Token ID: 1614,	 score: 34,	type:hag,	skills: {"will":5,"wit":1,"wiles":8,"wisdom":9,"wonder":9,"woe":2}
RANK #2301,	Token ID: 1629,	 score: 34,	type:occultist,	skills: {"will":3,"wit":3,"wiles":9,"wisdom":5,"wonder":5,"woe":9}
RANK #2302,	Token ID: 1634,	 score: 34,	type:occultist,	skills: {"will":4,"wit":8,"wiles":9,"wisdom":2,"wonder":3,"woe":8}
RANK #2303,	Token ID: 1637,	 score: 34,	type:enchantress,	skills: {"will":9,"wit":5,"wiles":9,"wisdom":2,"wonder":7,"woe":2}
RANK #2304,	Token ID: 1654,	 score: 34,	type:enchantress,	skills: {"will":6,"wit":8,"wiles":4,"wisdom":6,"wonder":2,"woe":8}
RANK #2305,	Token ID: 1688,	 score: 34,	type:enchantress,	skills: {"will":4,"wit":4,"wiles":9,"wisdom":8,"wonder":3,"woe":6}
RANK #2306,	Token ID: 1697,	 score: 34,	type:hag,	skills: {"will":7,"wit":2,"wiles":6,"wisdom":4,"wonder":8,"woe":7}
RANK #2307,	Token ID: 1731,	 score: 34,	type:mage,	skills: {"will":8,"wit":3,"wiles":3,"wisdom":8,"wonder":4,"woe":8}
RANK #2308,	Token ID: 1732,	 score: 34,	type:occultist,	skills: {"will":2,"wit":5,"wiles":7,"wisdom":6,"wonder":5,"woe":9}
RANK #2309,	Token ID: 1739,	 score: 34,	type:seer,	skills: {"will":5,"wit":7,"wiles":0,"wisdom":9,"wonder":6,"woe":7}
RANK #2310,	Token ID: 1765,	 score: 34,	type:necromancer,	skills: {"will":7,"wit":3,"wiles":7,"wisdom":1,"wonder":7,"woe":9}
RANK #2311,	Token ID: 1769,	 score: 34,	type:occultist,	skills: {"will":6,"wit":3,"wiles":4,"wisdom":7,"wonder":6,"woe":8}
RANK #2312,	Token ID: 1790,	 score: 34,	type:occultist,	skills: {"will":7,"wit":9,"wiles":5,"wisdom":0,"wonder":8,"woe":5}
RANK #2313,	Token ID: 1798,	 score: 34,	type:mage,	skills: {"will":3,"wit":8,"wiles":4,"wisdom":8,"wonder":9,"woe":2}
RANK #2314,	Token ID: 1805,	 score: 34,	type:occultist,	skills: {"will":6,"wit":4,"wiles":3,"wisdom":7,"wonder":5,"woe":9}
RANK #2315,	Token ID: 1831,	 score: 34,	type:occultist,	skills: {"will":7,"wit":2,"wiles":8,"wisdom":3,"wonder":5,"woe":9}
RANK #2316,	Token ID: 1845,	 score: 34,	type:seer,	skills: {"will":9,"wit":4,"wiles":0,"wisdom":5,"wonder":8,"woe":8}
RANK #2317,	Token ID: 1846,	 score: 34,	type:enchantress,	skills: {"will":4,"wit":3,"wiles":7,"wisdom":4,"wonder":8,"woe":8}
RANK #2318,	Token ID: 1851,	 score: 34,	type:enchantress,	skills: {"will":5,"wit":9,"wiles":6,"wisdom":6,"wonder":4,"woe":4}
RANK #2319,	Token ID: 1874,	 score: 34,	type:mage,	skills: {"will":7,"wit":6,"wiles":5,"wisdom":2,"wonder":6,"woe":8}
RANK #2320,	Token ID: 1926,	 score: 34,	type:occultist,	skills: {"will":4,"wit":3,"wiles":9,"wisdom":4,"wonder":5,"woe":9}
RANK #2321,	Token ID: 1947,	 score: 34,	type:hag,	skills: {"will":0,"wit":9,"wiles":2,"wisdom":8,"wonder":7,"woe":8}
RANK #2322,	Token ID: 1972,	 score: 34,	type:necromancer,	skills: {"will":5,"wit":7,"wiles":4,"wisdom":5,"wonder":5,"woe":8}
RANK #2323,	Token ID: 2021,	 score: 34,	type:hag,	skills: {"will":1,"wit":5,"wiles":4,"wisdom":7,"wonder":9,"woe":8}
RANK #2324,	Token ID: 2073,	 score: 34,	type:enchantress,	skills: {"will":3,"wit":9,"wiles":3,"wisdom":7,"wonder":4,"woe":8}
RANK #2325,	Token ID: 2090,	 score: 34,	type:occultist,	skills: {"will":3,"wit":5,"wiles":9,"wisdom":4,"wonder":4,"woe":9}
RANK #2326,	Token ID: 2147,	 score: 34,	type:enchantress,	skills: {"will":2,"wit":6,"wiles":9,"wisdom":8,"wonder":4,"woe":5}
RANK #2327,	Token ID: 2191,	 score: 34,	type:occultist,	skills: {"will":1,"wit":6,"wiles":9,"wisdom":5,"wonder":4,"woe":9}
RANK #2328,	Token ID: 2206,	 score: 34,	type:mage,	skills: {"will":8,"wit":0,"wiles":1,"wisdom":8,"wonder":8,"woe":9}
RANK #2329,	Token ID: 2217,	 score: 34,	type:enchantress,	skills: {"will":9,"wit":3,"wiles":7,"wisdom":4,"wonder":8,"woe":3}
RANK #2330,	Token ID: 2232,	 score: 34,	type:mage,	skills: {"will":0,"wit":7,"wiles":8,"wisdom":5,"wonder":9,"woe":5}
RANK #2331,	Token ID: 2235,	 score: 34,	type:seer,	skills: {"will":7,"wit":8,"wiles":7,"wisdom":9,"wonder":1,"woe":2}
RANK #2332,	Token ID: 2265,	 score: 34,	type:seer,	skills: {"will":9,"wit":5,"wiles":1,"wisdom":3,"wonder":9,"woe":7}
RANK #2333,	Token ID: 2271,	 score: 34,	type:hag,	skills: {"will":7,"wit":9,"wiles":4,"wisdom":9,"wonder":3,"woe":2}
RANK #2334,	Token ID: 2293,	 score: 34,	type:mage,	skills: {"will":2,"wit":7,"wiles":1,"wisdom":8,"wonder":9,"woe":7}
RANK #2335,	Token ID: 2300,	 score: 34,	type:occultist,	skills: {"will":2,"wit":3,"wiles":6,"wisdom":8,"wonder":8,"woe":7}
RANK #2336,	Token ID: 2309,	 score: 34,	type:hag,	skills: {"will":3,"wit":3,"wiles":3,"wisdom":9,"wonder":9,"woe":7}
RANK #2337,	Token ID: 2336,	 score: 34,	type:necromancer,	skills: {"will":9,"wit":4,"wiles":6,"wisdom":7,"wonder":5,"woe":3}
RANK #2338,	Token ID: 2347,	 score: 34,	type:occultist,	skills: {"will":2,"wit":5,"wiles":6,"wisdom":8,"wonder":6,"woe":7}
RANK #2339,	Token ID: 2361,	 score: 34,	type:hag,	skills: {"will":2,"wit":5,"wiles":5,"wisdom":8,"wonder":9,"woe":5}
RANK #2340,	Token ID: 2365,	 score: 34,	type:mage,	skills: {"will":5,"wit":6,"wiles":6,"wisdom":7,"wonder":2,"woe":8}
RANK #2341,	Token ID: 2377,	 score: 34,	type:seer,	skills: {"will":8,"wit":4,"wiles":4,"wisdom":7,"wonder":7,"woe":4}
RANK #2342,	Token ID: 2395,	 score: 34,	type:necromancer,	skills: {"will":9,"wit":5,"wiles":5,"wisdom":8,"wonder":0,"woe":7}
RANK #2343,	Token ID: 2397,	 score: 34,	type:enchantress,	skills: {"will":9,"wit":5,"wiles":9,"wisdom":8,"wonder":2,"woe":1}
RANK #2344,	Token ID: 2416,	 score: 34,	type:hag,	skills: {"will":3,"wit":5,"wiles":8,"wisdom":7,"wonder":6,"woe":5}
RANK #2345,	Token ID: 2417,	 score: 34,	type:necromancer,	skills: {"will":5,"wit":7,"wiles":5,"wisdom":7,"wonder":1,"woe":9}
RANK #2346,	Token ID: 2442,	 score: 34,	type:hag,	skills: {"will":3,"wit":7,"wiles":5,"wisdom":9,"wonder":4,"woe":6}
RANK #2347,	Token ID: 2451,	 score: 34,	type:necromancer,	skills: {"will":9,"wit":6,"wiles":3,"wisdom":7,"wonder":2,"woe":7}
RANK #2348,	Token ID: 2454,	 score: 34,	type:enchantress,	skills: {"will":9,"wit":9,"wiles":9,"wisdom":1,"wonder":3,"woe":3}
RANK #2349,	Token ID: 2493,	 score: 34,	type:mage,	skills: {"will":6,"wit":5,"wiles":5,"wisdom":6,"wonder":4,"woe":8}
RANK #2350,	Token ID: 2507,	 score: 34,	type:hag,	skills: {"will":4,"wit":1,"wiles":7,"wisdom":9,"wonder":5,"woe":8}
RANK #2351,	Token ID: 2516,	 score: 34,	type:hag,	skills: {"will":0,"wit":9,"wiles":3,"wisdom":9,"wonder":7,"woe":6}
RANK #2352,	Token ID: 2522,	 score: 34,	type:enchantress,	skills: {"will":7,"wit":8,"wiles":4,"wisdom":5,"wonder":3,"woe":7}
RANK #2353,	Token ID: 2532,	 score: 34,	type:occultist,	skills: {"will":3,"wit":1,"wiles":7,"wisdom":8,"wonder":6,"woe":9}
RANK #2354,	Token ID: 2606,	 score: 34,	type:seer,	skills: {"will":9,"wit":3,"wiles":4,"wisdom":5,"wonder":5,"woe":8}
RANK #2355,	Token ID: 2643,	 score: 34,	type:seer,	skills: {"will":9,"wit":4,"wiles":3,"wisdom":9,"wonder":7,"woe":2}
RANK #2356,	Token ID: 2645,	 score: 34,	type:enchantress,	skills: {"will":9,"wit":3,"wiles":4,"wisdom":7,"wonder":5,"woe":6}
RANK #2357,	Token ID: 2674,	 score: 34,	type:seer,	skills: {"will":6,"wit":1,"wiles":6,"wisdom":8,"wonder":6,"woe":7}
RANK #2358,	Token ID: 2717,	 score: 34,	type:enchantress,	skills: {"will":8,"wit":9,"wiles":6,"wisdom":4,"wonder":3,"woe":4}
RANK #2359,	Token ID: 2790,	 score: 34,	type:necromancer,	skills: {"will":8,"wit":7,"wiles":2,"wisdom":9,"wonder":2,"woe":6}
RANK #2360,	Token ID: 2797,	 score: 34,	type:occultist,	skills: {"will":4,"wit":7,"wiles":8,"wisdom":3,"wonder":3,"woe":9}
RANK #2361,	Token ID: 2816,	 score: 34,	type:enchantress,	skills: {"will":7,"wit":9,"wiles":9,"wisdom":5,"wonder":0,"woe":4}
RANK #2362,	Token ID: 2823,	 score: 34,	type:necromancer,	skills: {"will":8,"wit":8,"wiles":4,"wisdom":7,"wonder":3,"woe":4}
RANK #2363,	Token ID: 2840,	 score: 34,	type:occultist,	skills: {"will":2,"wit":6,"wiles":4,"wisdom":6,"wonder":8,"woe":8}
RANK #2364,	Token ID: 2852,	 score: 34,	type:hag,	skills: {"will":0,"wit":5,"wiles":8,"wisdom":6,"wonder":7,"woe":8}
RANK #2365,	Token ID: 2873,	 score: 34,	type:necromancer,	skills: {"will":9,"wit":4,"wiles":3,"wisdom":7,"wonder":4,"woe":7}
RANK #2366,	Token ID: 2878,	 score: 34,	type:occultist,	skills: {"will":8,"wit":4,"wiles":8,"wisdom":7,"wonder":1,"woe":6}
RANK #2367,	Token ID: 2884,	 score: 34,	type:enchantress,	skills: {"will":9,"wit":8,"wiles":9,"wisdom":2,"wonder":3,"woe":3}
RANK #2368,	Token ID: 2904,	 score: 34,	type:necromancer,	skills: {"will":9,"wit":6,"wiles":4,"wisdom":6,"wonder":1,"woe":8}
RANK #2369,	Token ID: 2909,	 score: 34,	type:occultist,	skills: {"will":5,"wit":9,"wiles":8,"wisdom":0,"wonder":6,"woe":6}
RANK #2370,	Token ID: 2911,	 score: 34,	type:necromancer,	skills: {"will":9,"wit":6,"wiles":4,"wisdom":2,"wonder":4,"woe":9}
RANK #2371,	Token ID: 2924,	 score: 34,	type:occultist,	skills: {"will":5,"wit":6,"wiles":9,"wisdom":5,"wonder":0,"woe":9}
RANK #2372,	Token ID: 2949,	 score: 34,	type:seer,	skills: {"will":7,"wit":6,"wiles":6,"wisdom":8,"wonder":2,"woe":5}
RANK #2373,	Token ID: 2951,	 score: 34,	type:seer,	skills: {"will":3,"wit":3,"wiles":5,"wisdom":9,"wonder":6,"woe":8}
RANK #2374,	Token ID: 2995,	 score: 34,	type:occultist,	skills: {"will":8,"wit":6,"wiles":9,"wisdom":2,"wonder":3,"woe":6}
RANK #2375,	Token ID: 3010,	 score: 34,	type:necromancer,	skills: {"will":8,"wit":6,"wiles":6,"wisdom":7,"wonder":0,"woe":7}
RANK #2376,	Token ID: 3025,	 score: 34,	type:hag,	skills: {"will":0,"wit":1,"wiles":8,"wisdom":8,"wonder":9,"woe":8}
RANK #2377,	Token ID: 3033,	 score: 34,	type:hag,	skills: {"will":4,"wit":8,"wiles":4,"wisdom":9,"wonder":6,"woe":3}
RANK #2378,	Token ID: 3055,	 score: 34,	type:mage,	skills: {"will":6,"wit":3,"wiles":6,"wisdom":5,"wonder":8,"woe":6}
RANK #2379,	Token ID: 3091,	 score: 34,	type:seer,	skills: {"will":6,"wit":6,"wiles":3,"wisdom":9,"wonder":4,"woe":6}
RANK #2380,	Token ID: 3092,	 score: 34,	type:necromancer,	skills: {"will":5,"wit":6,"wiles":7,"wisdom":2,"wonder":7,"woe":7}
RANK #2381,	Token ID: 3102,	 score: 34,	type:seer,	skills: {"will":8,"wit":6,"wiles":4,"wisdom":9,"wonder":5,"woe":2}
RANK #2382,	Token ID: 3106,	 score: 34,	type:enchantress,	skills: {"will":9,"wit":4,"wiles":9,"wisdom":5,"wonder":6,"woe":1}
RANK #2383,	Token ID: 3141,	 score: 34,	type:occultist,	skills: {"will":8,"wit":3,"wiles":9,"wisdom":1,"wonder":5,"woe":8}
RANK #2384,	Token ID: 3148,	 score: 34,	type:hag,	skills: {"will":2,"wit":1,"wiles":7,"wisdom":7,"wonder":9,"woe":8}
RANK #2385,	Token ID: 3149,	 score: 34,	type:occultist,	skills: {"will":5,"wit":7,"wiles":4,"wisdom":8,"wonder":6,"woe":4}
RANK #2386,	Token ID: 3177,	 score: 34,	type:occultist,	skills: {"will":8,"wit":5,"wiles":6,"wisdom":3,"wonder":8,"woe":4}
RANK #2387,	Token ID: 3183,	 score: 34,	type:hag,	skills: {"will":0,"wit":5,"wiles":3,"wisdom":9,"wonder":9,"woe":8}
RANK #2388,	Token ID: 3187,	 score: 34,	type:seer,	skills: {"will":9,"wit":5,"wiles":2,"wisdom":4,"wonder":6,"woe":8}
RANK #2389,	Token ID: 3197,	 score: 34,	type:hag,	skills: {"will":8,"wit":7,"wiles":8,"wisdom":5,"wonder":3,"woe":3}
RANK #2390,	Token ID: 3213,	 score: 34,	type:necromancer,	skills: {"will":9,"wit":0,"wiles":4,"wisdom":8,"wonder":8,"woe":5}
RANK #2391,	Token ID: 3221,	 score: 34,	type:mage,	skills: {"will":3,"wit":6,"wiles":6,"wisdom":1,"wonder":9,"woe":9}
RANK #2392,	Token ID: 3227,	 score: 34,	type:necromancer,	skills: {"will":9,"wit":7,"wiles":4,"wisdom":9,"wonder":0,"woe":5}
RANK #2393,	Token ID: 3258,	 score: 34,	type:occultist,	skills: {"will":6,"wit":6,"wiles":7,"wisdom":2,"wonder":4,"woe":9}
RANK #2394,	Token ID: 3265,	 score: 34,	type:necromancer,	skills: {"will":3,"wit":3,"wiles":7,"wisdom":7,"wonder":5,"woe":9}
RANK #2395,	Token ID: 3267,	 score: 34,	type:hag,	skills: {"will":5,"wit":3,"wiles":7,"wisdom":6,"wonder":6,"woe":7}
RANK #2396,	Token ID: 3273,	 score: 34,	type:hag,	skills: {"will":8,"wit":5,"wiles":7,"wisdom":5,"wonder":3,"woe":6}
RANK #2397,	Token ID: 3276,	 score: 34,	type:necromancer,	skills: {"will":6,"wit":2,"wiles":7,"wisdom":9,"wonder":5,"woe":5}
RANK #2398,	Token ID: 3278,	 score: 34,	type:mage,	skills: {"will":5,"wit":7,"wiles":7,"wisdom":2,"wonder":9,"woe":4}
RANK #2399,	Token ID: 3284,	 score: 34,	type:hag,	skills: {"will":5,"wit":7,"wiles":2,"wisdom":7,"wonder":9,"woe":4}
RANK #2400,	Token ID: 3289,	 score: 34,	type:occultist,	skills: {"will":6,"wit":9,"wiles":9,"wisdom":2,"wonder":0,"woe":8}
